"","s.Control","s.Control Depression","s.PMS","s.PMS Depression","s.RRMS","s.RRMS Depression","index","stat","p.value"
"f8975af07a433935c8615060ce6ae7d6",0,0,1,1,0,1,39,0.389568704412115,0.004
"a81725e1e732c5919a9475db6c3e6e9e",0,0,1,0,0,0,3,0.10420202488035,0.363
"36e64f6a14c31701a814ed88d61c5cf7",1,1,1,1,1,1,63,0.344992516787596,NA
"f04f54055e3f718f275bbb70606069c4",0,1,1,1,0,0,32,0.213386588831749,0.213
"c64ca6166bf51ab36f3a05b4b9ad13bc",1,1,1,0,1,0,43,0.148779758927976,0.748
"1c98766f7acd07af2afe1f671e305441",1,1,1,1,1,0,57,0.21017411492624,0.749
"108e0608762167afe331ab95f986e1ce",1,1,1,1,1,1,63,0.450592764004441,NA
"54962caa572317b267f7abcddda830e7",1,0,0,0,0,0,1,0.101273936708367,0.506
"a0b31f8cc9222a79ee17f87112187ba6",0,0,1,0,0,0,3,0.110146988415976,0.265
"ae7deca31dad9fa3f4f996cf37898ec9",0,0,1,1,1,1,56,0.203716624260291,0.176
"67b2586d4a5f7f536bc1a8496f64ad3b",0,0,0,0,1,1,21,0.0963738849304853,0.44
"c9f740e73e66d9d448b62883bfcb2299",0,1,1,0,1,1,54,0.180129690676627,0.365
"130a8330de52a69354df4f227b62c052",0,1,1,1,1,1,62,0.506496481473695,0.004
"9ed1d2334fa8c716e829efaf9e43b141",0,1,1,1,1,1,62,0.28197799390511,0.351
"b319dab19d61b830afbf3b5c068d6b56",0,0,1,1,0,1,39,0.2843358107626,0.065
"5bcc00628ce94d820053a5f0974265e6",0,0,1,1,0,1,39,0.1350617430684,0.445
"841ecc3eddcfb23d4f9e23e1ab9b8e85",0,0,0,0,1,0,5,0.056747953633806,0.846
"6849ede5a235925e97c5f364194232f3",0,1,1,0,0,0,12,0.157967949100548,0.507
"580b3e699b3ed5094aa89a46cad1e9b9",0,0,0,0,1,0,5,0.0616626415978207,0.548
"51f7cdd5d28bb1283ea71f39505b3b7c",1,0,1,1,1,1,61,0.278275358672661,0.505
"525fdd65f918ff23fe0d4b22e242916c",0,0,0,0,0,1,6,0.0805215455338627,0.445
"7504db6db56b358af5177a0e711c972c",0,0,0,1,0,0,4,0.185695338177052,0.045
"fbfaa1b2bc0dc0412ab69d6af84c8017",1,0,0,0,0,0,1,0.0506369683541833,1
"5109bb6c6ceb8388e9f1fd9e09866f93",0,0,0,0,1,0,5,0.0616626415978207,0.55
"babe546a127e4bbe62e70c16fdffa445",1,1,1,1,1,1,63,0.426650135813563,NA
"bfd31e14fd88fbe61e07174990c58e22",1,0,0,0,0,0,1,0.0506369683541833,1
"a47458e6d04e45edc8716e80242f2cfe",1,0,0,0,0,0,1,0.0506369683541833,1
"85b90bbfd9b40ceddd7178bb978e8f57",1,0,0,0,0,0,1,0.0506369683541833,1
"4ed6e07f50fe3e0a9c972e65f982fd83",1,0,1,0,0,0,8,0.0798935461936961,0.688
"e4e28857de1b30ca296a33edcde17d81",1,0,0,0,0,0,1,0.0506369683541833,1
"aea64c530087f8c94c4eeb3828d46771",0,0,1,0,0,0,3,0.111803398874989,0.237
"ae924f31e200a90d9ad84975c41039b2",0,1,0,1,0,0,13,0.328860504912039,0.058
"871c92cf3c313e4958e93e23fad53e3f",1,0,0,0,0,0,1,0.0506369683541833,1
"0ce1c7f50713d294d9d4e1749b531fa7",1,0,0,0,0,0,1,0.0506369683541833,1
"eb6b921cc9c6f62ed9c5a4f5506890fb",1,0,0,0,0,0,1,0.0506369683541833,1
"62751b234269758679c3757753a108db",1,0,0,0,0,0,1,0.0506369683541833,1
"3c08704f3e08114b00dbfb3efb690ab6",0,0,0,0,1,0,5,0.0857858855766683,0.655
"b7cc53a91891304b6b756e899e593b20",0,0,1,0,0,0,3,0.157078081316985,0.106
"981398697b8e5e49e00948c418862bdf",0,0,0,0,1,0,5,0.0616626415978207,0.527
"2a1751536c2c272011a60f6ac6fc064f",1,0,0,0,0,0,1,0.0506369683541833,1
"bea3cdd6f648f1eebae9b5d9975ae573",1,0,0,0,0,0,1,0.0506369683541833,1
"45754c5ecfb6f5d317f901b3c02de97c",1,1,1,0,1,1,59,0.323479126531966,0.407
"a6221511dced8a031ec2e122fa209685",1,0,0,0,1,0,10,0.0553424532912486,1
"b21806397c272d52500b6a0ada6837e4",1,0,0,0,0,0,1,0.0506369683541833,1
"3ba57209e714aa85f3272dc31e8a3810",1,0,0,0,0,0,1,0.0706624207115848,0.761
"22b9c6bfa882c8914afcad426a0914b5",0,0,0,1,0,0,4,0.214031818209429,0.055
"f8eb21fa7d0f61e56d70fb3e10f21312",0,0,0,1,0,0,4,0.166988256038568,0.094
"e80e2e5c681992192f47ae78069a237b",0,0,1,0,0,1,18,0.117575811608411,0.271
"f8b0f8ac988f97bc3c62eac5d823f97c",0,1,1,0,0,0,12,0.148807709754762,0.216
"d800881c005c421b67ba8a1d269edbfc",1,1,1,1,1,1,63,0.283748865906369,NA
"6aa4cec8486ac6b487e5090f52ed71fb",0,0,0,1,0,0,4,0.141728197375867,0.254
"d348b3e42b9cd325d1f0088462aedcf3",1,1,1,1,1,1,63,0.39836304487145,NA
"22b109c04e8a2d7edde8d229b99350a5",1,1,1,1,1,1,63,0.226587489317156,NA
"57f0e6566995476b5eae2b4237c930fd",0,0,0,0,1,0,5,0.118157876251707,0.423
"5aaba32e1583dee8243e66c42c2b5d8f",1,0,0,0,1,0,10,0.0782660480194832,0.948
"56175c77e695cd4484b44733028834da",0,1,1,0,1,1,54,0.266103628891653,0.072
"d3789b9338156d1c1a66fdf90bb32f51",NA,NA,NA,NA,NA,NA,NA,NA,NA
"a995537a95d52fad52a3a0cdbe847f74",1,0,0,0,0,0,1,0.0506369683541833,1
"07f847da0f14d338851bff36302b1d5d",1,0,1,0,1,1,50,0.194501983119913,0.552
"02c79fe24a8af56ee0422ed2d56723ba",0,0,0,0,1,0,5,0.0573233395511879,0.877
"5e2b92ee2e080df6c009ed994de6e097",0,0,1,0,0,0,3,0.232762758140636,0.05
